Status,mark,Stand_ID.m,pattern_state
living,NA,1,state1
living,DBH,1,state2
dead,dead,1,state1
dead,mortality,1,state1
living,NA,2,state3
living,DBH,2,state2
dead,dead,2,state1
dead,mortality,2,state1
living,NA,3,state1
living,DBH,3,state2
dead,dead,3,state1
dead,mortality,3,state1
living,NA,4,state1
living,DBH,4,state1
living,NA,4,state1
living,DBH,4,state1
living,NA,4,state1
living,DBH,4,state1
living,NA,5,state2
living,DBH,5,state2
dead,dead,5,state3
dead,mortality,5,state3
living,NA,6,state2
living,DBH,6,state2
dead,dead,6,state3
dead,mortality,6,state3
living,NA,6,state2
living,DBH,6,state2
dead,dead,6,state3
dead,mortality,6,state3
living,NA,7,state2
living,DBH,7,state2
dead,dead,7,state3
dead,mortality,7,state3
living,NA,8,state1
living,DBH,8,state2
dead,dead,8,state1
dead,mortality,8,state1
living,NA,9,state1
living,DBH,9,state2
dead,dead,9,state1
dead,mortality,9,state3
living,NA,10,state2
living,DBH,10,state2
dead,dead,10,state1
dead,mortality,10,state1
living,NA,10,state2
living,DBH,10,state2
dead,dead,10,state1
dead,mortality,10,state1
living,NA,11,state2
living,DBH,11,state2
dead,dead,11,state1
dead,mortality,11,state1
living,NA,12,state1
living,DBH,12,state2
dead,dead,12,state3
dead,mortality,12,state3
living,NA,13,state3
living,DBH,13,state2
dead,dead,13,state3
dead,mortality,13,state3
living,NA,14,state1
living,DBH,14,state2
dead,dead,14,state1
dead,mortality,14,state3
living,NA,14,state1
living,DBH,14,state2
dead,dead,14,state1
dead,mortality,14,state3
living,NA,14,state1
living,DBH,14,state2
dead,dead,14,state1
dead,mortality,14,state3
living,NA,14,state1
living,DBH,14,state2
dead,dead,14,state1
dead,mortality,14,state3
living,NA,15,state1
living,DBH,15,state2
dead,dead,15,state3
dead,mortality,15,state3
living,NA,16,state1
living,DBH,16,state2
dead,dead,16,state1
dead,mortality,16,state1
living,NA,17,state2
living,DBH,17,state2
dead,dead,17,state3
dead,mortality,17,state1
living,NA,18,state1
living,DBH,18,state2
dead,dead,18,state1
dead,mortality,18,state1
living,NA,19,state1
living,DBH,19,state2
dead,dead,19,state1
dead,mortality,19,state3
living,NA,20,state1
living,DBH,20,state2
dead,dead,20,state2
dead,mortality,20,state1
living,NA,21,state1
living,DBH,21,state2
dead,dead,21,state1
dead,mortality,21,state1
living,NA,22,state3
living,DBH,22,state2
dead,dead,22,state2
dead,mortality,22,state3
living,NA,22,state3
living,DBH,22,state2
dead,dead,22,state2
dead,mortality,22,state3
living,NA,23,state1
living,DBH,23,state2
dead,dead,23,state1
dead,mortality,23,state1
living,NA,23,state1
living,DBH,23,state2
dead,dead,23,state1
dead,mortality,23,state1
living,NA,24,state1
living,DBH,24,state2
dead,dead,24,state2
dead,mortality,24,state1
living,NA,25,state1
living,DBH,25,state2
dead,dead,25,state1
dead,mortality,25,state1
living,NA,26,state3
living,DBH,26,state2
dead,dead,26,state1
dead,mortality,26,state1
living,NA,27,state2
living,DBH,27,state2
dead,dead,27,state1
dead,mortality,27,state3
living,NA,28,state1
living,DBH,28,state2
dead,dead,28,state1
dead,mortality,28,state3
living,NA,29,state2
living,DBH,29,state1
dead,dead,29,state1
dead,mortality,29,state3
living,NA,30,state3
living,DBH,30,state2
dead,dead,30,state2
dead,mortality,30,state1
living,NA,31,state3
living,DBH,31,state2
dead,dead,31,state1
dead,mortality,31,state1
living,NA,32,state3
living,DBH,32,state2
living,NA,32,state3
living,DBH,32,state2
living,NA,33,state3
living,DBH,33,state2
dead,dead,33,state1
dead,mortality,33,state1
living,NA,34,state1
living,DBH,34,state2
dead,dead,34,state1
dead,mortality,34,state3
living,NA,34,state1
living,DBH,34,state2
dead,dead,34,state1
dead,mortality,34,state3
living,NA,35,state2
living,DBH,35,state2
dead,dead,35,state1
dead,mortality,35,state1
living,NA,36,state2
living,DBH,36,state2
dead,dead,36,state1
dead,mortality,36,state1
living,NA,36,state2
living,DBH,36,state2
dead,dead,36,state1
dead,mortality,36,state1
living,NA,37,state1
living,DBH,37,state2
dead,dead,37,state1
dead,mortality,37,state3
living,NA,38,state2
living,DBH,38,state2
dead,dead,38,state1
dead,mortality,38,state3
living,NA,39,state1
living,DBH,39,state1
